"modelCode","category","arabicName","englishName","turkishName","curated","representativeColourwayCode","namingReason"
"WTW-032","Geometric","بذور","Seeds","Tohumlar","false","WTW-032-C01","Pointed seed-like cells recur in vertical rows."
"WTW-033","Geometric","سطور","Rows","Sıralar","false","WTW-033-C01","Compact horizontal units build successive rows."
"WTW-034","Geometric","حبيبات","Grains","Tanecikler","false","WTW-034-C01","A very fine granular repeat creates soft texture."
"WTW-035","Geometric","علامات","Marks","İşaretler","false","WTW-035-C01","Tiny distinct symbols punctuate the pale ground."
"WTW-036","Geometric","تموّج","Undulation","Dalgalanma","false","WTW-036-C01","Small repeated waves ripple through the grid."
"WTW-037","Geometric","عيون","Eyes","Gözler","false","WTW-037-C01","Elongated eye-shaped motifs repeat vertically."
"WTW-038","Geometric","أعمدة","Columns","Sütunlar","false","WTW-038-C01","Quiet upright elements establish a columnar rhythm."
"WTW-039","Geometric","سهام","Arrows","Oklar","false","WTW-039-C01","Fine chevrons point in a clear repeating direction."
"WTW-040","Geometric","مربّعات","Squares","Kareler","false","WTW-040-C01","A grid of tonal squares structures the surface."
"WTW-041","Geometric","وحدات","Motifs","Motifler","false","WTW-041-C01","Small repeating units form a measured all-over pattern."
"WTW-042","Abstract","غيم","Cloud","Bulut","false","WTW-042-C01","A pale drifting shape softens the geometric field."
"WTW-043","Geometric","نسج","Weave","Dokuma","false","WTW-043-C01","Close herringbone lines resemble a woven surface."
"WTW-044","Geometric","أروقة","Corridors","Koridorlar","true","WTW-044-C01","Warm continuous turns suggest architectural passageways."
"WTW-045","Botanical","سعف","Fronds","Palmiye","true","WTW-045-C02","Layered leaf fronds make the botanical motif unmistakable."
"WTW-046","Geometric","صعود","Ascent","Yükseliş","false","WTW-046-C01","Repeated upward chevrons give a rising motion."
"WTW-047","Geometric","مجسّمات","Volumes","Hacimler","false","WTW-047-C01","Alternating line groups imply three-dimensional blocks."
"WTW-048","Geometric","تداخل","Overlap","Örtüşme","false","WTW-048-C01","Fine nested outlines visually overlap one another."
"WTW-049","Geometric","سداسيات","Hexagons","Altıgenler","false","WTW-049-C01","The repeating six-sided cell is the dominant motif."
"WTW-050","Organic","مراوح","Fans","Yelpazeler","true","WTW-050-C01","Curving fan-like leaves bring a soft organic rhythm."
"WTW-051","Geometric","قشور","Scales","Pullar","true","WTW-051-C01","Layered pointed units read as a bold scale pattern."
"WTW-052","Geometric","مناظير","Perspectives","Perspektifler","true","WTW-052-C01","Open cubic geometry gives a clear sense of depth."
"WTW-053","Textural","نقوش","Etching","Gravür","true","WTW-053-C01","Slanted scratched marks form a tactile etched texture."
"WTW-054","Organic","رخام","Marble","Mermer","true","WTW-054-C01","Fine branching mineral veins evoke marble."
"WTW-055","Organic","أمواج","Waves","Dalgalar","true","WTW-055-C01","Concentric ovals move across the surface like waves."
"WTW-056","Organic","شقوق","Cracks","Çatlaklar","false","WTW-056-C02","Dark fracture lines spread across a pale background."
"WTW-057","Abstract","تناثر","Spatter","Sıçrama","true","WTW-057-C02","Expressive splashes make a distinctive abstract field."
"WTW-058","Linear","سكون","Stillness","Dinginlik","true","WTW-058-C02","Sparse horizontal traces leave generous quiet space."
"WTW-059","Organic","منحنيات","Curves","Kıvrımlar","true","WTW-059-C02","Broad contour lines flow in irregular soft paths."
"WTW-060","Geometric","رقش","Patternwork","Bezeme","false","WTW-060-C01","Dense miniature geometry reads as subtle ornament."
"WTW-061","Textural","ظلال","Shadows","Gölgeler","true","WTW-061-C01","Soft tonal patches create a subdued shadowed texture."
"WTW-062","Geometric","نسيج","Texture","Doku","false","WTW-062-C01","A fine textile-like grain covers the warm ground."
"WTW-063","Geometric","خيوط","Threads","İplikler","false","WTW-063-C01","Regular short strands recall interlaced threads."
"WTW-064","Geometric","شبكيات","Mesh","Ağ","false","WTW-064-C01","Tiny closely packed intersections form a mesh."
"WTW-065","Geometric","رسوبيات","Sediment","Tortu","false","WTW-065-C01","Fine layered markings suggest settled strata."
"WTW-066","Geometric","قطريات","Diagonals","Köşegenler","false","WTW-066-C01","Fine oblique strokes create a directional repeat."
"WTW-067","Linear","سدى","Warp","Çözgü","false","WTW-067-C01","Close parallel yarn-like lines recall the warp of a weave."
